NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
6,Sequence,600000,25483714.296,42.47286,21.23643,753422.35347,4,753422.35347
6,Vector,60,748787.561,12479.79268,6239.89634,1025658063.78293,1600000,1025658063.78293
6,Hashmap,60,7752293.071,129204.88452,64602.44226,20914255.75828,168889,10457127.87914
7,Sequence,700000,29882882.563,42.68983,21.34492,749593.01375,4,749593.01375
7,Vector,70,892014.629,12743.06613,6371.53306,1004467831.43508,1600000,1004467831.43508
7,Hashmap,70,11045526.977,157793.24253,78896.62126,17125093.29739,168889,8562546.648695
8,Sequence,800000,35152735.332,43.94092,21.97046,728250.58301,4,728250.58301
8,Vector,80,908975.576,11362.1947,5681.09735,1126542920.44476,1600000,1126542920.44476
8,Hashmap,80,9597959.326,119974.49158,59987.24579,22523321.1204,168889,11261660.5602
9,Sequence,900000,40744248.784,45.27139,22.63569,706848.22667,4,706848.22667
9,Vector,90,1508195.393,16757.72659,8378.86329,763826759.68034,1600000,763826759.68034
9,Hashmap,90,12271465.23,136349.61367,68174.80683,19818347.31564,168889,9909173.65782
10,Sequence,1000000,46386945.501,46.38695,23.19347,689849.25941,4,689849.25941
10,Vector,100,1691021.511,16910.21511,8455.10756,756938922.22758,1600000,756938922.22758
10,Hashmap,100,12805893.84,128058.9384,64029.4692,21101408.72447,168889,10550704.362235
1,Sequence,100000,3798814.911,37.98815,18.99407,842367.96869,4,842367.96869
1,Vector,10,43580.538,4358.0538,2179.0269,2937090863.81632,1600000,2937090863.81632
1,Hashmap,10,1024885.384,102488.5384,51244.2692,26366109.24681,168889,13183054.623405
2,Sequence,200000,7963389.611,39.81695,19.90847,803677.86993,4,803677.86993
2,Vector,20,134496.038,6724.8019,3362.40095,1903401793.88779,1600000,1903401793.88779
2,Hashmap,20,1934652.267,96732.61335,48366.30668,27934983.9358,168889,13967491.9679
3,Sequence,300000,12945775.626,43.15259,21.57629,741554.64125,4,741554.64125
3,Vector,30,166212.038,5540.40127,2770.20063,2310301977.04453,1600000,2310301977.04453
3,Hashmap,30,2922809.121,97426.9707,48713.48535,27735892.64436,168889,13867946.32218
4,Sequence,400000,16732230.882,41.83058,20.91529,764990.63934,4,764990.63934
4,Vector,40,321600.248,8040.0062,4020.0031,1592038573.30359,1600000,1592038573.30359
4,Hashmap,40,4858765.672,121469.1418,60734.5709,22246176.7652,168889,11123088.3826
5,Sequence,500000,22464946.352,44.92989,22.46495,712220.70818,4,712220.70818
5,Vector,50,438464.526,8769.29052,4384.64526,1459639177.2866,1600000,1459639177.2866
5,Hashmap,50,6956951.895,139139.0379,69569.51895,19421034.10218,168889,9710517.05109
6,Sequence,600000,26736829.166,44.56138,22.28069,718110.58375,4,718110.58375
6,Vector,60,548051.657,9134.19428,4567.09714,1401327758.41603,1600000,1401327758.41603
6,Hashmap,60,8617457.624,143624.29373,71812.14687,18814532.90219,168889,9407266.451095
7,Sequence,700000,31123986.962,44.46284,22.23142,719702.1393,4,719702.1393
7,Vector,70,929876.575,13283.95107,6641.97554,963568740.29223,1600000,963568740.29223
7,Hashmap,70,10510134.104,150144.77291,75072.38646,17997456.37194,168889,8998728.18597
8,Sequence,800000,36931998.793,46.165,23.0825,693165.84091,4,693165.84091
8,Vector,80,977915.991,12223.94989,6111.97494,1047124711.55408,1600000,1047124711.55408
8,Hashmap,80,10116476.577,126455.95721,63227.97861,21368894.43223,168889,10684447.216115
9,Sequence,900000,39700128.47,44.11125,22.05563,725438.45851,4,725438.45851
9,Vector,90,1064607.516,11828.9724,5914.4862,1082088922.6185,1600000,1082088922.6185
9,Hashmap,90,10762663.146,119585.14607,59792.57303,22596652.58504,168889,11298326.29252
10,Sequence,1000000,45036879.85,45.03688,22.51844,710528.79566,4,710528.79566
10,Vector,100,1694884.998,16948.84998,8474.42499,755213481.4518,1600000,755213481.4518
10,Hashmap,100,12383250.706,123832.50706,61916.25353,21821604.55405,168889,10910802.277025
1,Sequence,100000,4425872.138,44.25872,22.12936,723021.33912,4,723021.33912
1,Vector,10,58582.006,5858.2006,2929.1003,2184971269.16412,1600000,2184971269.16412
1,Hashmap,10,971289.198,97128.9198,48564.4599,27821003.3177,168889,13910501.65885
2,Sequence,200000,8128097.53,40.64049,20.32024,787392.12668,4,787392.12668
2,Vector,20,125505.49,6275.2745,3137.63725,2039751408.4842,1600000,2039751408.4842
2,Hashmap,20,1804660.879,90233.04395,45116.52197,29947166.60005,168889,14973583.300025
3,Sequence,300000,12379767.248,41.26589,20.63295,775458.84407,4,775458.84407
3,Vector,30,185584.664,6186.15547,3093.07773,2069136488.56244,1600000,2069136488.56244
3,Hashmap,30,3010354.556,100345.15187,50172.57593,26929293.04238,168889,13464646.52119
4,Sequence,400000,16781214.249,41.95304,20.97652,762757.67713,4,762757.67713
4,Vector,40,274905.36,6872.634,3436.317,1862459138.66503,1600000,1862459138.66503
4,Hashmap,40,4613478.298,115336.95745,57668.47873,23428951.65387,168889,11714475.826935
5,Sequence,500000,22266723.104,44.53345,22.26672,718561.05298,4,718561.05298
5,Vector,50,420485.193,8409.70386,4204.85193,1522051217.62754,1600000,1522051217.62754
5,Hashmap,50,6177294.215,123545.8843,61772.94215,21872230.02458,168889,10936115.01229
6,Sequence,600000,25888326.387,43.14721,21.57361,741647.01545,4,741647.01545
6,Vector,60,605486.531,10091.44218,5045.72109,1268401460.1144,1600000,1268401460.1144
6,Hashmap,60,7415604.286,123593.40477,61796.70238,21863820.36405,168889,10931910.182025
7,Sequence,700000,30885122.655,44.1216,22.0608,725268.28694,4,725268.28694
7,Vector,70,876007.251,12514.3893,6257.19465,1022822583.91946,1600000,1022822583.91946
7,Hashmap,70,9988959.988,142699.4284,71349.7142,18936473.8899,168889,9468236.94495
8,Sequence,800000,34747819.849,43.43477,21.71739,736736.869,4,736736.869
8,Vector,80,828032.748,10350.40935,5175.20468,1236666064.80641,1600000,1236666064.80641
8,Hashmap,80,10579911.897,132248.89871,66124.44936,20432865.8031,168889,10216432.90155
9,Sequence,900000,41888315.095,46.54257,23.27129,687542.57446,4,687542.57446
9,Vector,90,1194196.608,13268.8512,6634.4256,964665275.61934,1600000,964665275.61934
9,Hashmap,90,11367452.224,126305.02471,63152.51236,21394429.92217,168889,10697214.961085
10,Sequence,1000000,47011425.786,47.01143,23.50571,680685.58792,4,680685.58792
10,Vector,100,1617377.426,16173.77426,8086.88713,791404640.26731,1600000,791404640.26731
10,Hashmap,100,12230529.712,122305.29712,61152.64856,22094088.02097,168889,11047044.010485
